               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040969,            0.046749,            0.047659,             0.78862,             0.45692,             0.53515,              0.3435,            0.032782,            0.037481,            0.043269,            0.006436,            0.006436,            0.006436
                  38,            0.040347,             0.04495,            0.046524,             0.81585,             0.45482,             0.54963,             0.36091,            0.032661,            0.037255,            0.041959,            0.006337,            0.006337,            0.006337
                  39,            0.040447,            0.044511,            0.046285,             0.80369,              0.4505,             0.54454,             0.35876,             0.03359,            0.037931,            0.041856,            0.006238,            0.006238,            0.006238
                  40,            0.039921,            0.047129,              0.0465,             0.81516,             0.48686,             0.57658,             0.37328,            0.033419,            0.037934,            0.040136,            0.006139,            0.006139,            0.006139
                  41,            0.040365,            0.046243,            0.045286,             0.80594,              0.4703,             0.56123,             0.37701,            0.032007,            0.037417,            0.041249,             0.00604,             0.00604,             0.00604
                  42,            0.039025,            0.044801,            0.045359,             0.83141,             0.49551,             0.59258,             0.41168,            0.030049,            0.035683,            0.039385,            0.005941,            0.005941,            0.005941
                  43,            0.039705,            0.046256,            0.045589,             0.83259,             0.48768,             0.58484,             0.39147,            0.031804,            0.036805,            0.039726,            0.005842,            0.005842,            0.005842
                  44,            0.038592,            0.045959,            0.045051,             0.80819,             0.49943,             0.59544,             0.41802,            0.031569,            0.035744,            0.040334,            0.005743,            0.005743,            0.005743
                  45,            0.038507,            0.045254,            0.044013,               0.817,             0.49212,             0.59119,             0.40536,            0.031846,            0.036385,            0.039024,            0.005644,            0.005644,            0.005644
                  46,            0.038368,            0.045042,            0.044284,             0.83337,             0.50767,             0.59957,              0.4146,            0.030356,             0.03611,            0.038638,            0.005545,            0.005545,            0.005545
                  47,            0.038046,            0.042803,            0.043435,             0.86239,             0.49711,             0.61254,              0.4054,            0.030917,            0.035908,            0.038379,            0.005446,            0.005446,            0.005446
                  48,            0.038785,            0.045322,            0.044287,             0.87242,             0.51246,             0.62578,             0.44442,            0.029765,            0.035498,            0.037238,            0.005347,            0.005347,            0.005347
                  49,            0.037773,            0.044676,            0.043197,             0.85451,             0.51405,             0.62003,             0.43555,            0.029736,            0.035665,            0.038052,            0.005248,            0.005248,            0.005248
                  50,            0.038099,             0.04471,            0.042538,              0.8762,             0.51259,             0.62998,             0.43907,            0.030224,            0.035822,            0.037441,            0.005149,            0.005149,            0.005149
